"Source:","C:\Users\Axel\Desktop\AxxSolder\PCB\AxxSolder\AxxSolder.kicad_sch"
"Date:","2023-08-26 20:59:03"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","82"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","part_id"
"5","1","C23","330u","EMZR500ARA331MJA0G:EMZR500ARA331MJA0G","EMZR500ARA331MJA0G:CAPAE1030X1050N","https://ru.mouser.com/datasheet/2/420/United-Chemi-Con-776012.pdf","","","Cap Aluminum Lytic 330uF 50V 20% (10 X 10mm) SMD 0.12 Ohm 900mA 2000h 105C Automotive T/R","10.5","Chemi-Con","EMZR500ARA331MJA0G","661-EMZR500ARA331MJA","",""
"6","5","D1, D3, D5, D6, D12","BAT54S","Device:D_Schottky_Dual_Series_AKC","BAT54S,215:SOT95P230X110-3N","~","","","","","","","","",""
"7","1","D2","PMEG6020ER","PMEG6020ER_115:PMEG6020ER,115","PMEG6020ER,115:PMEG6020ER115","https://assets.nexperia.com/documents/data-sheet/PMEG6020ER.pdf","","","Nexperia PMEG6020ER,115 SMT Schottky Diode, 60V 2A, 2-Pin SOD-123W","1.1","Nexperia","PMEG6020ER,115","771-PMEG6020ER-115","https://www.mouser.co.uk/ProductDetail/Nexperia/PMEG6020ER115?qs=5DYmZrWuUErk3dU9e9SSpA%3D%3D",""
"8","1","D4","Waveshare 1.5inch OLED Module","1_5inch-rgb-oled-module_asm-1110:1_5inch-rgb-oled-module_asm-1110","1_5inch-rgb-oled-module_asm-1110:1_5inch-rgb-oled-module_asm-1110","","","","","","","","","",""
"9","1","D7","PMEG10030ELPX","PMEG10030ELPX:PMEG10030ELPX","PMEG10030ELPX:SODFL4725X110N","https://assets.nexperia.com/documents/data-sheet/PMEG10030ELP.pdf","","","Schottky Diodes & Rectifiers 3A Schottky Barrier Rectifier","1.1","Nexperia","PMEG10030ELPX","771-PMEG10030ELPX","https://www.mouser.co.uk/ProductDetail/Nexperia/PMEG10030ELPX?qs=bel5lzaZNxQd6L7wuvMmFQ%3D%3D",""
"10","1","D8","SMCJ24CA","SMCJ24CA:SMCJ24CA","SMCJ24CA:DIONM7969X262N","https://componentsearchengine.com/Datasheets/2/SMCJ24CA.pdf","","","LITTELFUSE - SMCJ24CA - TVS Diode, SMCJ Series, Bidirectional, 24 V, 38.9 V, DO-214AB (SMC), 2 Pins","2.62","LITTELFUSE","SMCJ24CA","576-SMCJ24CA","https://www.mouser.co.uk/ProductDetail/Littelfuse/SMCJ24CA?qs=HR2RnyOI4E6hN4LN6Thpwg%3D%3D",""
"11","1","F1","10A Fuse","Device:Fuse","3557-2:3557-2","~","","","","","","","","",""
"12","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","","","","","","","","",""
"13","1","IC1","LTC4440AHMS8E-5#PBF","LTC4440AHMS8E-5#PBF:LTC4440AHMS8E-5#PBF","LTC4440AHMS8E-5#PBF:SOP65P490X110-9N","https://www.arrow.com/en/products/ltc4440ahms8e-5pbf/analog-devices","","","Driver 1.1A 1-OUT High Side Full Brdg Non-Inv Automotive 8-Pin MSOP EP Tube","1.1","Analog Devices","LTC4440AHMS8E-5#PBF","584-C4440AHMS8E-5PBF","https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4440AHMS8E-5PBF?qs=hVkxg5c3xu86VC%252BBJjm7uA%3D%3D",""
"14","1","IC2","STM32G431KBT6","STM32G431KBT6:STM32G431KBT6","STM32G431KBT6:QFP80P900X900X160-32N","https://www.st.com/resource/en/datasheet/stm32g431kb.pdf","","","ARM Microcontrollers - MCU Mainstream Arm Cortex-M4+ MCU 170MHz with 128Kbytes of Flash memory, Math Accelerator, Medium Analog level integration","1.6","STMicroelectronics","STM32G431KBT6","511-STM32G431KBT6","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STM32G431KBT6?qs=T3oQrply3y8teCTeNAFOLg%3D%3D",""
